titolo_poesia,testo,label_enj
Traversando la Maremma toscana,"E dimani cadrò. Ma di lontano

Pace dicono al cuor le tue colline",1
Traversando la Maremma toscana,"Con le nebbie sfumanti e il verde piano
Ridente ne le pioggie mattutine.",1
Lavandare,"resta un aratro senza buoi che pare
dimenticato, tra il vapor leggero.",1
Lavandare,"E cadenzato dalla gora viene
lo sciabordare delle lavandare",1
L'assiuolo,"Dov’era la luna? ché il cielo
notava in un’alba di perla,",1
Digitale purpurea,"non ci tornasti?» «Mai» «Non le vedesti

più?» «Non più, cara» «Io sì: ci ritornai;",1
Digitale purpurea,"Oh! quel convento in mezzo alla montagna
cerulea!» Maria parla: una mano",1
Digitale purpurea,"Vedono. Sorge nell’azzurro intenso
del ciel di maggio il loro monastero,",1
Digitale purpurea,"tornaste alle sonanti camerate

oggi: ed oggi, più alto, Ave, ripete,",1
Digitale purpurea,"senza perché. Quante fanciulle sono
nell’orto, bianco qua e là di loro!",1
Digitale purpurea,"di vele al vento, vengono. Rimane
qualcuna, e legge in un suo libro buono.",1
Digitale purpurea,"una spiga di fiori, anzi di dita
spruzzolate di sangue, dita umane,",1
Digitale purpurea,"Memorie (l’una sa dell’altra al muto
premere) dolci, come è tristo e pio",1
Digitale purpurea,"portava odor di rose e di viole a

ciocche. Nel cuore, il languido fermento",1
Digitale purpurea,"L’aria soffiava luce di baleni
silenzïosi. M’inoltrai leggiera,",1
Digitale purpurea,"erbosi. I piedi mi tenea la folta
erba. Sorridi? E dirmi sentia, Vieni!",1
La Poesia,"da bocche
celate nell'ombra, ai cantoni,",1
La Poesia,"la madre, nel tempo ch'esplora
la figlia più grande che pensa",1
La Poesia,"che oscilla
davanti a una dolce Maria,",1
La Poesia,"raccolgo l'uguale tributo
d'ulivo",1
La Poesia,"d'ulivo
da tutta la villa, e il saluto",1
La Poesia,"da tutta la villa, e il saluto
del colle sassoso e del rivo",1
La Poesia,"del colle sassoso e del rivo
sonante di canne:",1
La Poesia,"la donna più bianca del bianco
lenzuolo, che in grembo, assopita,",1
La Poesia,"scarniti di vecchi; tenaci
di vergini bionde sorrisi;",1
Nebbia,"nascondile, involale al volo
del cuore! Ch’io veda il cipresso",1
Nebbia,"Ch’io veda soltanto la siepe
dell’orto,",1
Nebbia,"la mura ch’ha piene le crepe
di valerïane.",1
Nebbia,"Ch’io veda là solo quel bianco
di strada,",1
Il gelsomino notturno,"È l’alba: si chiudono i petali
un poco gualciti; si cova,",1
Il gelsomino notturno,"Dai calici aperti si esala
l’odore di fragole rosse.",1
L'ultimo viaggio XIX Il Ciclope,"«Ben verrei reco per veder quell'uomo
che tanto mangia, e portar via, se posso,",1
L'ultimo viaggio XIX Il Ciclope,"Dentro e' non era. Egli pasceva al monte
i pingui greggi. E i due meravigliando",1
L'ultimo viaggio XIX Il Ciclope,"i pingui greggi. E i due meravigliando
vedean graticci pieni di formaggi,",1
La sera fiesolana,"ti sien come il fruscìo che fan le foglie
del gelso ne la man di chi le coglie",1
La sera fiesolana,"mentre la Luna è prossima a le soglie
cerule e par che innanzi a sè distenda un velo",1
La sera fiesolana,"o Sera, e pe’; tuoi grandi umidi occhi ove si tace
l’acqua del cielo!",1
La sera fiesolana,"Io ti dirò verso quali reami
d’amor ci chiami il fiume, le cui fonti",1
La sera fiesolana,"d’amor ci chiami il fiume, le cui fonti
eterne a l’ombra de gli antichi rami",1
La sera fiesolana,"s’incurvino come labbra che un divieto
chiuda, e perché la volontà di dire",1
La sera fiesolana,"e nel silenzio lor sempre novelle
consolatrici, sì che pare",1
Le stirpi canore,"I miei carmi son prole
delle foreste,",1
Le stirpi canore,"fervide come le vene
degli adolescenti,",1
Le stirpi canore,"nette come i cristalli
del monte,",1
Le stirpi canore,"tremule come le fronde
del pioppo,",1
