titolo,autore,testo,figure_rilevanti,analisi_metrica
Per il quinto anniversario della battaglia di Mentana,Giosue Carducci,"Ogni anno, allor che lugubre
L’ora de la sconfitta
Di Mentana su’ memori
Colli volando va,
I colli e i pian trasalgono
E fieramente dritta
Su i nomentani tumuli
La morta schiera sta.

Non son nefandi scheletri;
Sono alte forme e belle,
Cui roseo dal crepuscolo
Ondeggia intorno un vel:
Per le ferite ridono
Pie le virginee stelle,
Lievi a le chiome avvolgonsi
Le nuvole del ciel.

— Or che le madri gemono
Sovra gl’insonni letti,
Or che le spose sognano
Il nostro spento amor,
Noi rileviam dal Tartaro
I bianchi infranti petti,
Per salutarti, o Italia,
Per rivederti ancor.

Qual ne l’incerto tramite
Gittava il cavaliero
Il verde manto serico
De la sua donna al piè,
Per te gittammo l’anima
Ridenti al fato nero;
E tu pur vivi immemore
Di chi moría per te.

Ad altri, o dolce Italia,
Doni i sorrisi tuoi;
Ma i morti non obliano
Ciò che piú in vita amâr;
Ma Roma è nostra, i vindici
Del nome suo siam noi:
Voliam su ’l Campidoglio,
Voliamo a trionfar. —

Va come fosca nuvola
La morta compagnia,
E al suo passare un fremito
Gl’itali petti assal;
Ne le auree veglie tacciono
La luce e l’armonia,
E sordo il tuon rimormora
Su l’alto Quirinal.

Ma i cavalier d’industria,
Che a la città di Gracco
Trasser le pance nitide
E l’inclita viltà,
Dicon — Se il tempo brontola,
Finiam d’empire il sacco;
Poi venga anche il diluvio;
Sarà quel che sarà.","ossimoro","Sette strofe formate ciascuna da otto settenari; schema di rime abcdebfd."
Traversando la Maremma toscana,Giosue Carducci,"Dolce paese, onde portai conforme
L’abito ﬁero e lo sdegnoso canto
E il petto ov’odio e amor mai non s’addorme,
Pur ti riveggo, e il cuor mi balza in tanto.

Ben riconosco in te le usate forme
Con gli occhi incerti tra ’l sorriso e il pianto,
E in quelle seguo de’ miei sogni l’orme
Erranti dietro il giovenile incanto.

Oh, quel che amai, quel che sognai, fu in vano;
E sempre corsi, e mai non giunsi il fine;
E dimani cadrò. Ma di lontano

Pace dicono al cuor le tue colline
Con le nebbie sfumanti e il verde piano
Ridente ne le pioggie mattutine.","enjambement","Sonetto con schema ABAB ABAB CDC DCD."
Dinanzi alle Terme di Caracalla,Giosue Carducci,"Corron tra 'l Celio fosche e l'Aventino
le nubi: il vento dal pian tristo move
umido: in fondo stanno i monti albani
bianchi di nevi.

A le cineree trecce alzato il velo
verde, nel libro una britanna cerca
queste minacce di romane mura
al cielo e al tempo.

Continui, densi, neri, crocidanti
versansi i corvi come fluttuando
contro i due muri ch'a più ardua sfida
levansi enormi.

«Vecchi giganti, — par che insista irato
l'augure stormo — a che tentate il cielo?»
Grave per l'aure vien da Laterano
suon di campane.

Ed un ciociaro, nel mantello avvolto,
grave fischiando tra la folta barba,
passa e non guarda. Febbre, io qui t'invoco,
nume presente.

Se ti fûr cari i grandi occhi piangenti
e de le madri le protese braccia
te deprecanti, o dea, da 'l reclinato
capo de i figli:

se ti fu cara su 'l Palazio eccelso
l'ara vetusta (ancor lambiva il Tebro
l'evandrio colle, e veleggiando a sera
tra 'l Campidoglio

e l'Aventino il reduce quirite
guardava in alto la città quadrata
dal sole arrisa, e mormorava un lento
saturnio carme);

Febbre, m'ascolta. Gli uomini novelli
quinci respingi e lor picciole cose:
religïoso è questo orror: la dea
Roma qui dorme.

Poggiata il capo al Palatino augusto,
tra 'l Celio aperte e l'Aventin le braccia,
per la Capena i forti omeri stende
a l'Appia via.","climax","Ode composta da dieci strofe saffiche, rese con tre endecasillabi piani + un quinario."
Alla stazione in una mattina d'autunno,Giosue Carducci,"Oh quei fanali come s’inseguono
accidïosi là dietro gli alberi,
tra i rami stillanti di pioggia
sbadigliando la luce su ’l fango!

Flebile, acuta, stridula fischia
la vaporiera da presso. Plumbeo
il cielo e il mattino d’autunno
come un grande fantasma n’è intorno.

Dove e a che move questa, che affrettasi
a’ carri fòschi, ravvolta e tacita
gente? a che ignoti dolori
o tormenti di speme lontana?

Tu pur pensosa, Lidia, la tessera
al secco taglio dài de la guardia,
e al tempo incalzante i begli anni
dài, gl’istanti gioiti e i ricordi.

Van lungo il nero convoglio e vengono
incappucciati di nero i vigili,
com’ombre; una fioca lanterna
hanno, e mazze di ferro: ed i ferrei

freni tentati rendono un lugubre
rintócco lungo: di fondo a l’anima
un’eco di tedio risponde
doloroso, che spasimo pare.

E gli sportelli sbattuti al chiudere
paion oltraggi: scherno par l’ultimo
appello che rapido suona:
grossa scroscia su’ vetri la pioggia.

Già il mostro, conscio di sua metallica
anima, sbuffa, crolla, ansa, i fiammei
occhi sbarra; immane pe ’l buio
gitta il fischio che sfida lo spazio.

Va l’empio mostro; con traino orribile
sbattendo l’ale gli amor miei portasi.
Ahi, la bianca faccia e ’l bel velo
salutando scompar ne la tenebra.

O viso dolce di pallor roseo,
o stellanti occhi di pace, o candida
tra’ floridi ricci inchinata
pura fronte con atto soave!

Fremea la vita nel tepid’ aere,
fremea l’estate quando mi arrisero:
e il giovine sole di giugno
si piacea di baciar luminoso

in tra i riflessi del crin castanei
la molle guancia: come un’aureola
piú belli del sole i miei sogni
ricingean la persona gentile.

Sotto la pioggia, tra la caligine
torno ora, e ad esse vorrei confondermi;
barcollo com’ebro, e mi tócco,
non anch’io fossi dunque un fantasma.

Oh qual caduta di foglie, gelida,
continua, muta, greve, su l’anima!
io credo che solo, che eterno,
che per tutto nel mondo è novembre.

Meglio a chi ’l senso smarrì de l’essere,
meglio quest’ombra, questa caligine:
io voglio io voglio adagiarmi
in un tedio che duri infinito.","climax, allitterazioni, assonanze, similitudini","Quindici strofe alcaiche, ovvero due endecasillabi alcaici, un enneasillabo alcaico e un decasillabo alcaico."
Sogno d'estate,Giosue Carducci,"Tra le battaglie, Omero, nel carme tuo sempre sonanti
la calda ora mi vinse: chinommisi il capo tra 'l sonno
in riva di Scamandro, ma il cor mi fuggì su 'l Tirreno.
Sognai, placide cose de' miei novelli anni sognai.
Non più libri: la stanza da 'l sole di luglio affocata,
rintronata da i carri rotolanti su 'l ciottolato
de la città, slargossi: sorgeanmi intorno i miei colli,
cari selvaggi colli che il giovane april rifioría.
Scendeva per la piaggia con mormorii freschi un zampillo
pur divenendo rio: su 'l rio passeggiava mia madre
florida ancor ne gli anni, traendosi un pargolo a mano
cui per le spalle bianche splendevano i riccioli d'oro.
Andava il fanciulletto con piccolo passo di gloria,
superbo de l'amore materno, percosso nel core
da quella festa immensa che l'alma natura intonava.
Però che le campane sonavano su da 'l castello
annunziando Cristo tornante dimane a' suoi cieli;
e su le cime e al piano, per l'aure, pe' rami, per l'acque,
correa la melodia spiritale di primavera;
ed i peschi ed i meli tutti eran fior' bianchi e vermigli,
e fior' gialli e turchini ridea tutta l'erba al di sotto,
ed il trifoglio rosso vestiva i declivii de' prati,
e molli d'auree ginestre si paravano i colli,
e un'aura dolce movendo quei fiori e gli odori
veniva giú dal mare; nel mar quattro candide vele
andavano andavano cullandosi lente nel sole,
che mare e terra e cielo sfolgorante circonfondeva.
La giovine madre guardava beata nel sole.
Io guardava la madre, guardava pensoso il fratello,
questo che or giace lungi su 'l poggio d'Arno fiorito,
quella che dorme presso ne l'erma solenne Certosa;
pensoso e dubitoso s'ancora ei spirassero l'aure
o ritornasser pii del dolor mio da una plaga
ove tra note forme rivivono gli anni felici.
Passar le care imagini, disparvero lievi co 'l sonno.
Lauretta empieva intanto di gioia canora le stanze,
Bice china al telaio seguía cheta l'opra de l'ago.","ripetizioni, enumerazione","37 esametri, composti per lo più da combinazioni di settenario + novenario."
Nevicata,Giosue Carducci,"Lenta fiocca la neve pe ’l cielo cinerëo: gridi,
suoni di vita più non salgono da la città,

non d’erbaiola il grido o corrente rumore di carro,
non d’amore la canzon ilare e di gioventù.

Da la torre di piazza roche per l’aëre le ore
gemon, come sospir d’un mondo lungi dal dì.

Picchiano uccelli raminghi a’ vetri appannati: gli amici
spiriti reduci son, guardano e chiamano a me.

In breve, o cari, in breve – tu càlmati, indomito cuore –
giù al silenzio verrò, ne l’ombra riposerò.","inversione, chiasmo, epifrasi, anafore, allitterazioni","Cinque distici elegiaci."
A una mummia,Arrigo Boito,"Mummia fasciata in logori
Papiri sontuösi,
Mummia che sul sudario
Porti l’apoteösi,
Perdona se i nepoti,
Più culti che devoti,
Fan del tuo frale eterno
Sì misero governo.

Tu, nata al sole, al fulgido
Sole del tuo deserto,
Al soffio ardente e libero
D’un orizzonte aperto,
Tu non pensavi, un giorno.
Nel gel d’un aer piorno,
D’esser messa in vetrina
Da una gente latina.

O fumo degli olibani!
O roride nepenti!
Ombrìa profonda e placida
De’ patrii monumenti!
A così bella pace
Ti derubò rapace
Una che non ha posa
Scienza curïosa.

E come appar su putrido
Brago una morta bolla,
Tu comparisti ai cupidi
Stupori della folla;
Dal mondo incivilito
Fosti segnata a dito
Qual prezïoso e pulcro
Rifiuto del sepulcro.

E venne il paleologo,
Divinator de’ segni,
A ordir sul tuo sarcofago
Cifre di stirpi e regni;
Fu vïolato intero
Della tomba il mistero;
T’han lisciate le chiome
E t’han chiamata a nome.
 
Oggi, depositario
Di tanta erudizione,
Pianta bottega e cattedra
Un lurco cicerone
Che ti narra all’Inglese
(Pur ch’e’ paghi le spese)
Storpiando i nomi (o scherno!)
Del tuo parlar materno.

E nel guatarti il pargolo
S’asconde per paura,
Poi, nella notte, orribile
Sogna la tua figura.
Al cinico Narciso
Svegli sul labro il riso;
Nessun vien col pensiere
Di dirti un miserere

Eppur chiudesti un’anima
In quella sorda testa,
Lo sento, e n’è riverbero
Quella tua fronte mesta,
Eppur sentisti il core
Balzarti per amore,
Eppur provasti il morso
Del pianto e del rimorso.
 
Meglio se fosse in polvere
La creta tua tornata
Con sì pietoso studio
Da’ cari tuoi fasciata.
Che voleresti al sole
Effluvio di vïole
O sabbia in groppa al vento
Per l’ampio firmamento.

Meglio se fra le torbide
Furie dell’Oceàno
T’avesse in mezzo ai vortici
Travolta l’uragano,
Chè avresti le convalli
Di perle e di coralli
E toccheresti il fondo
D’un prodigioso mondo.
 
Qui per andar di secoli
Non muterà tua sorte,
Vedrai novelli popoli
Colle occhïaia morte,
E il tempo che ne fruga
Non segnerà una ruga
Sovra il tuo volto scarmo
E freddo come marmo.

Ma un dì verrà, novissimo,
Che in una cupa valle
Cadrem, tremanti, pallidi.
Coi nostri errori a spalle,
E sentirem la tromba
Che spezzerà ogni tomba.
Mummia, quella mattina
Romperai la vetrina.","antitesi, ossimoro","Dodici strofe di otto settenari ciascuna, schema di rime abcbddee. Il primo e il terzo verso sono sdruccioli, così da generare uno schema ababccdd."
Allora,Giovanni Pascoli,"Allora...in un tempo assai lunge
felice fui molto; non ora:
ma quanta dolcezza mi giunge
da tanta dolcezza d'allora!

Quell'anno! per anni che poi
fuggirono, che fuggiranno,
non puoi, mio pensiero, non puoi,
portare con te, che quell'anno!

Un giorno fu quello, ch'è senza
compagno, ch'è senza ritorno;
la vita fu vana parvenza
sì prima sì dopo quel giorno!

Un punto!... così passeggero,
che in vero passò non raggiunto,
ma bello così, che molto ero
felice, felice, quel punto!","ripetizioni, antitesi","Quartine di novenari a rima alternata, schema abab; in ogni strofa la parola finale riprende quella di inizio."
Lavandare,Giovanni Pascoli,"Nel campo mezzo grigio e mezzo nero
resta un aratro senza buoi che pare
dimenticato, tra il vapor leggero.

E cadenzato dalla gora viene
lo sciabordare delle lavandare
con tonfi spessi e lunghe cantilene:

il vento soffia e nevica la frasca,
e tu non torni ancora al tuo paese!
quando partisti, come son rimasta!
come l’aratro in mezzo alla maggese.","enjambement, chiasmi","Madrigale con schema di rime ABA CBC DEDE. La rima D è una rima non perfetta."
L'assiuolo,Giovanni Pascoli,"Dov’era la luna? ché il cielo
notava in un’alba di perla,
ed ergersi il mandorlo e il melo
parevano a meglio vederla.
Venivano soffi di lampi
da un nero di nubi laggiù;
veniva una voce dai campi:
chiù...

Le stelle lucevano rare
tra mezzo alla nebbia di latte:
sentivo il cullare del mare,
sentivo un fru fru tra le fratte;
sentivo nel cuore un sussulto,
com’eco d’un grido che fu.
Sonava lontano il singulto:
chiù...

Su tutte le lucide vette
tremava un sospiro di vento:
squassavano le cavallette
finissimi sistri d’argento
(tintinni a invisibili porte
che forse non s’aprono più?...);
e c’era quel pianto di morte...
chiù...","ripetizioni, allitterazioni, enjambement","Tre strofe di sette novenari, più un monosillabo onomatopeico, metricamente un ternario, in rima con il sesto verso della strofa. Lo schema di rime è alternato: ababcdcd."
