titolo_poesia,termine_uno,termine_due,label_sim
Il lampo,"una casa apparì sparì d’un tratto;","come un occhio, che, largo, esterrefatto,
s’aprì si chiuse, nella notte nera.",1
Il gelsomino notturno,"Sotto l’ali dormono i nidi,","come gli occhi sotto le ciglia.",1
Laus Vitae Canto I,"","come una spada fedele,",1
Laus Vitae Canto I,"","come una ruggente face,",1
Laus Vitae Canto I,"","come la gorgóna,",1
Laus Vitae Canto I,"","come la centàurea veste;",1
Laus Vitae Canto I,"","come un’acqua chiara,",1
Laus Vitae Canto I,"","come una corona,",1
Laus Vitae Canto I,"","come un fiale,",1
Laus Vitae Canto I,"","come il miele
che la bocca separa
dalla cera tenace;",1
Laus Vitae Canto I,"Chi di te gioì sempre","come s’ei fosse
per dipartirsi?",1
Laus Vitae Canto I,"Ah, tutti i suoi tirsi
il mio desiderio scosse
verso di te,","come un Tìaso di rosse
Tìadi in boschi folti,",1
Le stirpi canore,"Le mie parole
sono profonde","come la redici
terrene,",1
Le stirpi canore,"altre serene","come i firmamenti,",1
Le stirpi canore,"fervide","come le vene
degli adolescenti,",1
Le stirpi canore,"ispide","come i dumi",1
Le stirpi canore,"confuse","come i fumi
confusi,",1
Le stirpi canore,"nette","come i cristalli
del monte,",1
Le stirpi canore,"tremule","come le fronde
del pioppo,",1
Le stirpi canore,"tumide","come la nerici
dei cavalli
a galoppo,",1
Le stirpi canore,"labili","come i profumi
diffusi,",1
Le stirpi canore,"vergini","come i calici
appena schiusi,",1
Le stirpi canore,"notturne","come le rugiade
dei cieli,",1
Le stirpi canore,"funebri","come gli asfodeli
dell'Ade,",1
Le stirpi canore,"pieghevoli","come i salici
dello stagno,",1
Le stirpi canore,"tenui","come i teli
che fra due steli
tesse il ragno.",1
L'onda,"intesto di scaglia","come l'antica
lorica
del catafratto,",1
L'onda,"la forza
del vento l'intacca.","come colpo dismaglia
l'arme,",1
L'onda,"si perde,","come agnello che pasce
pel verde:",1
L'onda,"Il dorso ampio splende","come cristallo;",1
L'onda,"la cima leggiera
s'arruffa","come criniera
nivea di cavallo.",1
Le dolcezze,"La neve sulle case","come una parrucca bianca.",1
Limite,"Ci sono angosce rapide-vaste","come bitume di nubi sopra le valli.",1
Limite,"E’","come un martello",1
Limite,"E’","come un martello sordo",1
"Taci, anima stanca di godere","Giaci","come
il corpo,",1
"Taci, anima stanca di godere","camminiamo io e te","come sonnambuli.",1
A mia moglie,"Tu sei","come una giovane
una bianca pollastra.",1
A mia moglie,"È","come sono tutte
le femmine di tutti
i sereni animali
che avvicinano a Dio.",1
A mia moglie,"Tu sei","come una gravida
giovenca;",1
A mia moglie,"Tu sei","come una lunga
cagna, che sempre tanta
dolcezza ha negli occhi,
e ferocia nel cuore.",1
A mia moglie,"e così ti riguarda","come il suo Dio e Signore.",1
A mia moglie,"Tu sei","come la pavida
coniglia.",1
A mia moglie,"Tu sei","come la rondine
che torna in primavera.",1
A mia moglie,"Tu sei","come la provvida
formica.",1
Trieste,"è","come un ragazzaccio aspro e vorace,
con gli occhi azzurri e mani troppo grandi
per regalare un fiore;",1
Trieste,"","come un amore
con gelosia.",1
Parole,"si scioglierebbe,","come neve al sole.",1
«Frutta erbaggi»,"invecchia","come
una madre.",1
Sono una creatura,"","Come questa pietra
del S. Michele
così fredda
così dura
così prosciugata
così refrattaria
così totalmente
disanimata",1
Sono una creatura,"è il mio pianto
che non si vede","Come questa pietra",1
I fiumi,"ho riposato","come una reliquia",1
I fiumi,"mi levigava","come un suo sasso",1
I fiumi,"mi sono chinato a ricevere
il sole","come un beduino",1
Commiato,"","come un abisso",1
Soldati,"Si sta","come
d'autunno
sugli alberi
le foglie",1
Lelio,"La tua tomba, bambino,
vogliamo sia sbiancata","come una cameretta",1
Dolore,"mi guardi","come un nemico di classe",1
La rosa bianca,"un po' smemorata,","come tu sarai allora.",1
«Tato» padovano,"E forse anche tu
hai un'anima meravigliosa e immortale","come quella dei gattini
che vengono soppressi appena
appena semmai respirino",1
«Tato» padovano,"","come quelle dei gattini
che soffochiamo o perdiamo
nei campi o anneghiamo",1
Per il quinto anniversario della battaglia di Mentana,"Va","come fosca nuvola",1
Dinanzi alle Terme di Caracalla,"versansi i corvi","come fluttuando",1
Alla stazione in una mattina d'autunno,"piú belli del sole i miei sogni
ricingean la persona gentile","come un’aureola",1
Alla stazione in una mattina d'autunno,"barcollo","com’ebro",1
Nevicata,"Da la torre di piazza roche per l’aëre le ore
gemon,","come sospir d’un mondo lungi dal dì.",1
A una mummia,"freddo","come marmo",1
Allora,"son rimasta","come l’aratro in mezzo alla maggese.",1
Il tuono,"nera","come il nulla",1
Consolazione,"tutto sarà","come al tempo lontano.",1
Consolazione,"Poi per te sola io vo’ comporre un canto
che ti raccolga","come in una cuna,",1
Furit Aestus,"tutto il cielo si squarcia","come un velo.",1
La pioggia nel pineto,"è molle di pioggia","come una foglia,",1
La pioggia nel pineto,"e le tue chiome
auliscono","come
le chiare ginestre,",1
La pioggia nel pineto,"il cuor nel petto è","come pesca
intatta,",1
La pioggia nel pineto,"tra le palpebre gli occhi
son","come polle tra l'erbe,",1
La pioggia nel pineto,"i denti negli alveoli
son","come mandorle acerbe.",1
I pastori,"che verde è","come i pascoli dei monti.",1
